institution_id,UNITID,school_id,gss_code,year,Institution_Name,hdg_inst,toc_code,institution_state,hbcu_flag,land_grant_flag,carnegie_code_1994,carnegie_code_2005,carnegie_code_2010,carnegie_code_2015,full_school_name,school_name,school_zip,school_type_code,hdg_code,ft_tot_all_races_v,ft_tot_forgn_v,ft_tot_hisp_v,ft_tot_indian_v,ft_tot_asian_v,ft_tot_black_v,ft_tot_pacific_v,ft_tot_white_v,ft_tot_multi_non_hisp_v,ft_tot_asian_pi_98_v,ft_tot_other_98_v,ft_tot_unknown_v,ft_men_all_races_v,ft_men_forgn_v,ft_men_hisp_v,ft_men_indian_v,ft_men_asian_v,ft_men_black_v,ft_men_pacific_v,ft_men_white_v,ft_men_multi_non_hisp_v,ft_men_asian_pi_98_v,ft_men_other_98_v,ft_men_unknown_v,ft_wmen_all_races_v,ft_wmen_forgn_v,ft_wmen_hisp_v,ft_wmen_indian_v,ft_wmen_asian_v,ft_wmen_black_v,ft_wmen_pacific_v,ft_wmen_white_v,ft_wmen_multi_non_hisp_v,ft_wmen_asian_pi_98_v,ft_wmen_other_98_v,ft_wmen_unknown_v,ft_frst_tot_all_races_v,ft_frst_tot_forgn_v,ft_frst_tot_hisp_v,ft_frst_tot_indian_v,ft_frst_tot_asian_v,ft_frst_tot_black_v,ft_frst_tot_pacific_v,ft_frst_tot_white_v,ft_frst_tot_multi_non_hisp_v,ft_frst_tot_unknown_v,ft_frst_men_all_races_v,ft_frst_men_forgn_v,ft_frst_men_hisp_v,ft_frst_men_indian_v,ft_frst_men_asian_v,ft_frst_men_black_v,ft_frst_men_pacific_v,ft_frst_men_white_v,ft_frst_men_multi_non_hisp_v,ft_frst_men_unknown_v,ft_frst_wmen_all_races_v,ft_frst_wmen_forgn_v,ft_frst_wmen_hisp_v,ft_frst_wmen_indian_v,ft_frst_wmen_asian_v,ft_frst_wmen_black_v,ft_frst_wmen_pacific_v,ft_frst_wmen_white_v,ft_frst_wmen_multi_non_hisp_v,ft_frst_wmen_unknown_v
1068,129020,1293,713,1990,University of Connecticut,1,1,CT,0,1,R1,15,15,15,University of Connecticut: Health Center,Health Center,,M,3,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
1068,129020,1293,714,1990,University of Connecticut,1,1,CT,0,1,R1,15,15,15,University of Connecticut: Health Center,Health Center,,M,3,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
1068,129020,1293,715,1990,University of Connecticut,1,1,CT,0,1,R1,15,15,15,University of Connecticut: Health Center,Health Center,,M,3,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
1068,129020,1293,716,1990,University of Connecticut,1,1,CT,0,1,R1,15,15,15,University of Connecticut: Health Center,Health Center,,M,3,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
1068,129020,1293,717,1990,University of Connecticut,1,1,CT,0,1,R1,15,15,15,University of Connecticut: Health Center,Health Center,,M,3,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
1068,129020,1293,718,1990,University of Connecticut,1,1,CT,0,1,R1,15,15,15,University of Connecticut: Health Center,Health Center,,M,1,26,13,0,0,,0,,12,,1,,0,13,,,,,,,,,,,,13,,,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,
1069,139755,1294,101,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,140,63,0,0,,1,,70,,6,,0,135,,,,,,,,,,,,5,,,,,,,,,,,,54,,,,,,,,,,49,,,,,,,,,,5,,,,,,,,,
1069,139755,1294,104,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,67,22,3,0,,4,,37,,1,,0,49,,,,,,,,,,,,18,,,,,,,,,,,,16,,,,,,,,,,13,,,,,,,,,,3,,,,,,,,,
1069,139755,1294,105,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,242,70,5,0,,6,,160,,1,,0,181,,,,,,,,,,,,61,,,,,,,,,,,,115,,,,,,,,,,84,,,,,,,,,,31,,,,,,,,,
1069,139755,1294,106,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,457,144,12,0,,28,,240,,33,,0,415,,,,,,,,,,,,42,,,,,,,,,,,,170,,,,,,,,,,152,,,,,,,,,,18,,,,,,,,,
